Ant-Man (Eric OGrady)	#40100,#c8a620
Anita Blake	#375a62,#201f1d
Armadillo	#f7cabc,#cf9a6d
Beast (Ultimate)	#30201,#12171e
Annihilus	#d68d46,#161f13
Air-Walker (Gabriel Lan)	#25101a,#26110e
Abomination (Ultimate)	#25101a,#26110e
Asgardian	#25101a,#26110e
Araña	#25101a,#26110e
Angel (Warren Worthington III)	#25101a,#26110e
Apocalypse	#ac6a30,#60403
Albion	#25101a,#26110e
Avengers	#954830,#fbf1e2
Aginar	#25101a,#26110e
Baron Zemo (Heinrich Zemo)	#e0704,#9e4c2e
Asylum	#25101a,#26110e
Askew-Tronics	#25101a,#26110e
Arnim Zola	#ac937d,#eadcbb
Apocalypse (Ultimate)	#25101a,#26110e
Alex Wilder	#411a06,#fbfbf9
Ben Grimm	#25101a,#26110e
Beetle (Abner Jenkins)	#25101a,#26110e
Batroc the Leaper	#c0c0ff,#9a4051
Anole	#e6d7c7,#a2a588
Amphibian (Earth-712)	#25101a,#26110e
Ancient One (Ultimate)	#25101a,#26110e
A.I.M.	#32729e,#f3d735
Beast	#32647e,#912616
Amora	#25101a,#26110e
Beak	#555569,#959aa8
Ant-Man (Scott Lang)	#32729e,#30000
Abomination (Emil Blonsky)	#fefefd,#815a3c
Ancient One	#fefbf4,#fcdbf2
Baroness SBak	#25101a,#26110e
Abyss (Age of Apocalypse)	#fefefe,#90401
Aaron Stack	#25101a,#26110e
Anne Marie Hoag	#25101a,#26110e
Avalanche	#20101,#a59d91
Black Bird	#25101a,#26110e
Brood	#c8a51c,#cea658
Brotherhood of Evil Mutants	#9d9a96,#d0503
Bruce Banner	#25101a,#26110e
Beyonder	#39b2ba,#4fc3cb
Brute	#25101a,#26110e
Bengal	#2e729f,#ce9757
Big Bertha	#3d6382,#9f9487
Blur	#25101a,#26110e
Ben Reilly	#141930,#20100b
Callisto (Age of Apocalypse)	#5eb8c8,#3aafb8
Blue Marvel	#25101a,#26110e
Blindfold	#a4326c,#28171f
Capn Oz	#e9d8ae,#d09a7a
Cable	#a6642e,#d29357
Captain Britain (Ultimate)	#87afcd,#d2e1ec
Blade	#40202,#446071
Black Widow/Natasha Romanoff (MAA)	#336777,#542309
Black Cat (Ultimate)	#140d07,#b39d85
Blob (Ultimate)	#1d2331,#d18e5e
Bullseye	#a23928,#151d16
Bulldozer	#25101a,#26110e
Betty Brant	#14110e,#f9dccb
Blastaar	#9b5f33,#c99165
Callisto	#6c5b4e,#242f26
Black Panther	#30729e,#90807
Betty Ross	#f6c599,#d79d78
Brotherhood of Mutants (Ultimate)	#25101a,#26110e
Caliban	#4f874f,#181b1f
Blue Shield	#25101a,#26110e
Brother Voodoo	#25101a,#26110e
Black Cat	#4f874f,#90604
Bride of Nine Spiders (Immortal Weapons)	#fefefe,#a366b3
Cammi	#a69074,#7c6241
Bloodscream	#10000,#a1217
Cable (X-Men: Battle of the Atom)	#796040,#1b140c
Captain Marvel (Carol Danvers)	#c6a31f,#d6a356
Bloke	#73a0c9,#fdf100
Bloodstorm	#25101a,#26110e
Blue Blade	#f3d61f,#ecdfcb
Bucky	#fefefd,#d2233
Blacklash	#25101a,#26110e
Boomer	#25101a,#26110e
Captain America (Ultimate)	#4e874f,#186e92
Box	#c7df91,#6121f
Bill Hollister	#25101a,#26110e
Cable (Ultimate)	#34719a,#19130e
Calamity	#25101a,#26110e
Blackout	#24111c,#7c5741
Blazing Skull	#80201,#f9f8d8
Captain Marvel (Mar-Vell)	#492c60,#a0705
Black Tarantula	#b79376,#9f6230
Captain America	#c7a41d,#40201
Black Crow	#25101a,#26110e
Ben Urich	#10101,#9d9380
Bishop (Ultimate)	#25101a,#26110e
Black Bolt (Marvel War of Heroes)	#afebfd,#b1928
Captain Marvel (Genis-Vell)	#25101a,#26110e
Cable (Deadpool)	#5d0c0a,#8b0301
Beta-Ray Bill	#4e874f,#d79769
Bug	#d3f0d1,#cbdc65
Calypso	#fefdfd,#7b5341
Bloodstrike	#25101a,#26110e
Captain Cross	#25101a,#26110e
Bob, Agent of Hydra	#9aa130,#676f25
Captain Flint	#25101a,#26110e
Boomerang	#341c92,#f1ece7
Captain America (House of M)	#caa61b,#cfa851
Black Tom	#fefefe,#30101
Cannonball	#30504,#938677
Blizzard	#25101a,#26110e
Black Knight (Sir Percy of Scandia)	#f2d5c7,#2e170b
Captain America (Sam Wilson)	#c9a51b,#c0403
Blockbuster	#fdfdfd,#20202
Black Panther (Ultimate)	#c0e10,#2f1317
Captain America (Marvel War of Heroes)	#a9b0ba,#16161e
Big Wheel	#e8decb,#a2988c
Blob	#1d2432,#d28e5e
Blink	#90605,#240b1e
Black Bolt	#a33c27,#912616
Captain America (LEGO Marvel Super Heroes)	#bf9574,#f6dfbc
Ben Parker	#fcf9f5,#9f9286
Black Widow	#55c3cb,#3ab1ba
Blok	#25101a,#26110e
Captain America/Steve Rogers (MAA)	#2d617b,#c2d48
Blackheart	#10000,#70d15
Captain Britain	#181c27,#4a5579
Bushwacker	#25101a,#26110e
Blonde Phantom	#e5d555,#f92213
Butterfly	#5c6184,#8f9bb3
Cable (Marvel: Avengers Alliance)	#534d45,#1f252a
Black Queen	#25101a,#26110e
Black Widow (LEGO Marvel Super Heroes)	#372516,#944d28
Bi-Beast	#25101a,#26110e
Bromley	#724d62,#b1925f
Captain Marvel (Monica Rambeau)	#faf8f6,#190e0b
Bloodaxe	#25101a,#26110e
Black Widow (Ultimate)	#347099,#c19580
Boom Boom	#280f07,#eb9d53
Bishop	#4c854f,#251e1b
Deadpool	#50c3cc,#3ab2ba
Cloak	#121121,#4e4063
Daredevil (Ultimate)	#c7a51e,#361e27
Captain Universe	#fbf7ef,#e3a37
Crossbones	#fdfcf9,#20130c
Damage Control	#e3e1c4,#a5997e
Cyclops (Ultimate)	#965022,#4f874f
Cobalt Man	#25101a,#26110e
Carnage	#311816,#3675a0
Colossus (Ultimate)	#25101a,#26110e
Cuckoo	#25101a,#26110e
Carnage (Ultimate)	#5,#1a0603
Count Nefaria	#eee8cb,#ab4629
Dark Avengers	#312138,#101a22
Crimson Dynamo (Iron Man 3 - The Official Game)	#7c4a3d,#3a1e16
Cosmo (dog)	#25101a,#26110e
ClanDestine	#50e09,#e0703
DKen Neramani	#25101a,#26110e
Dark Beast	#222e34,#4fc1cc
Clea (Ultimate)	#25101a,#26110e
Dazzler	#e6c9c0,#bea679
Centurions	#8111c,#eceebb
Daily Bugle	#f3eeca,#baa180
Captain Stacy	#12100a,#54555e
Cerise	#25101a,#26110e
Dargo Ktor	#fefdfd,#120904
Darkstar	#69aedb,#c0704
Clint Barton	#25101a,#26110e
Catseye	#ffffff,#e9f0f7
Controller	#fdfbfa,#a0c0e6
Cyclops (X-Men: Battle of the Atom)	#6c634a,#100a07
Dakota North	#50101,#a61512
Cypher	#170e09,#855c3a
Celestials	#8b513c,#c69365
Colossus	#291912,#a05b2d
Dani Moonstar	#f9f1d0,#2a1b20
Cargill	#f7e8d7,#b4978d
Carol Hines	#25101a,#26110e
Darkhawk	#bf691b,#dd8c3f
Changeling	#fefefd,#76a5d5
Daredevil (LEGO Marvel Super Heroes)	#25101a,#26110e
Centennial	#8a5c3d,#c09068
Corsair	#190903,#b44818
Cornelius	#25101a,#26110e
Dead Girl	#92ad6e,#91af7f
Crimson King	#25101a,#26110e
Crimson Dynamo	#371811,#ae3b25
Carlie Cooper	#25101a,#26110e
Christian Walker	#25101a,#26110e
Charlie Campion	#25101a,#26110e
Chase Stein	#3a200f,#935125
Chameleon	#fefefd,#1d263d
Cerebro	#ffffff,#e9f0f7
Crusher Hogan (Ultimate)	#25101a,#26110e
Crusher Hogan	#10000,#b4847f
Carmella Unuscione	#25101a,#26110e
Champions	#1c0802,#faf54f
Chores MacGillicudy	#ad9b8e,#ecd8c5
Deacon Frost	#25101a,#26110e
Chamber	#f0e160,#f3f1c2
Cyclops	#2e73a0,#24110f
Cassandra Nova	#40302,#272342
Crimson Crusader	#9d8884,#bb989e
Daimon Hellstrom	#110705,#e94d21
Dagger	#39b2ba,#d5a061
Captain Midlands	#25101a,#26110e
Cyber	#0,#226496
Dark X-Men	#202a31,#f4f4ed
Confederates of the Curious	#a18971,#331520
Colleen Wing	#6eb5c4,#39b1b9
Chimera	#25101a,#26110e
Danny Rand	#cd8874,#12191f
Crule	#25101a,#26110e
Captain Marvel (Phyla-Vell)	#2c281e,#625e4f
Daken	#4f884f,#120c08
Darwin	#385876,#131e28
Carol Danvers	#25101a,#26110e
Deadpool (Deadpool)	#960706,#7a5048
Cottonmouth	#25101a,#26110e
Cardiac	#fdfdfc,#838282
Cecilia Reyes	#25101a,#26110e
Chat	#10121f,#445183
Chod	#292b1b,#5e6d38
Deadpool (LEGO Marvel Super Heroes)	#f5e8dc,#82a8ce
Cloud 9	#94512f,#28130a
Daredevil	#9a9796,#9c1c21
Dazzler (Ultimate)	#edccf9,#350e29
Curt Conners	#25101a,#26110e
Colonel America	#25101a,#26110e
Daredevil (Marvel Heroes)	#102e43,#84807f
Countess	#25101a,#26110e
Contessa (Vera Vidal)	#ad8d97,#eeddcb
Constrictor	#f3f3af,#c1a579
Cuthbert	#25101a,#26110e
Dark Phoenix	#170704,#ac101d
Crystal	#4f874f,#e58665
Caretaker	#25101a,#26110e
Charles Xavier	#25101a,#26110e
Chronomancer	#25101a,#26110e
Clea	#c0c25,#e4e3f4
Ender Wiggin	#251d18,#6a5440
Ezekiel Stane	#150e0b,#7e5747
Elektra	#caa61b,#d0a455
Diamondback (Rachel Leighton)	#c7a41c,#cfb144
Deathcry	#c1118,#47627f
Fabian Cortez	#40100,#4c151c
Devos	#12638e,#b5af77
Fantomex	#508850,#72a872
Eternity	#a86b3a,#80a12
Doctor Faustus	#b060a,#e1824
Diablo	#201018,#426a55
Elixir	#32719c,#161514
Earthquake	#fcfcfc,#748bc3
Fin Fang Foom	#faf0b2,#80704
Felicia Hardy	#25101a,#26110e
Dum Dum Dugan	#3f1502,#975f09
Devil Dinosaur (HAS)	#d7dbca,#94161b
Edwin Jarvis	#fbf2b8,#9d877a
Elements of Doom	#25101a,#26110e
Erik the Red	#25101a,#26110e
Ezekiel	#ae9d98,#ddd2ce
Echo	#b29582,#dfd9d0
Debrii	#5338c,#51a44
Doorman	#73bb,#10000
Elsa Bloodstone	#10100,#a8917d
Deena Pilgrim	#25101a,#26110e
Eddie Lau	#25101a,#26110e
Destiny	#25101a,#26110e
Doctor Doom (Ultimate)	#b96821,#50402
Epoch	#fefefd,#1f1e0f
Firebird	#fcf3ce,#ee9b2f
Doctor Strange (Ultimate)	#c6a11f,#d1a64d
Elektra (Ultimate)	#492d5e,#142228
Doop	#8ab180,#a3d5f2
Enchantress (Amora)	#df9457,#b26623
Doctor Spectrum	#a65018,#cc9b56
Dexter Bennett	#dfcfbf,#c39d82
Enchantress (Sylvie Lushton)	#25101a,#26110e
Firebrand	#25101a,#26110e
Dreaming Celestial	#25101a,#26110e
Ego	#714f72,#c6a31d
Energizer	#25101a,#26110e
Eddie Brock	#70403,#714d61
Demogoblin	#979694,#10a1b
Falcon/Sam Wilson (MAA)	#ede7e2,#2e6778
Deathbird	#8071f,#321427
Deathstrike (Ultimate)	#25101a,#26110e
Defenders	#542a58,#140a05
Dormammu	#efdac0,#baa495
Deviants	#a1324,#220e04
Doctor Octopus (Ultimate)	#291206,#f9db56
Elloe Kaifi	#969696,#50202
Death	#922616,#a53523
Expediter	#25101a,#26110e
Deathlok	#c7a41b,#785547
Exodus	#3b6f94,#89503a
Drax	#999a8b,#645e43
Detective Soap	#25101a,#26110e
Dog Brother #1	#fdfdfd,#10101
Dust	#aca191,#30202
Elite	#25101a,#26110e
Emma Frost	#38b2bb,#191919
Fenris	#25101a,#26110e
Dr. Strange (Marvel: Avengers Alliance)	#524942,#1e1009
Excalibur	#2d140e,#8e4a37
Dinah Soar	#25101a,#26110e
Doctor Strange	#545f73,#68b0bc
Electro (Ultimate)	#33212e,#ac8e62
Edward "Ted" Forrester	#25101a,#26110e
Doctor Doom	#2b1c0f,#2e719e
Dreadnoughts	#25101a,#26110e
Doctor Octopus	#906540,#c38f60
Dormammu (Ultimate)	#25101a,#26110e
Fallen One	#25101a,#26110e
Doomsday Man	#25101a,#26110e
Dirk Anger	#25101a,#26110e
Feral	#25101a,#26110e
Famine	#25101a,#26110e
Electro	#40508,#c39d5b
Firedrake	#d1ad4e,#cd831b
Deadpool (X-Men: Battle of the Atom)	#784e48,#110806
Dracula	#934031,#8e2717
Druig	#25101a,#26110e
Debra Whitman	#25101a,#26110e
Falcon	#4f884f,#100806
Eternals	#53c2cb,#3ab1ba
Emplate	#30202,#705746
Dragon Lord	#25101a,#26110e
Exiles	#8a532f,#342217
Doc Samson	#2f719e,#161209
Fantastic Four (Ultimate)	#3080c,#2c1407
Dragon Man	#8e9ed0,#f4d7c8
Fat Cobra	#fefefd,#e04a3c
Fantastic Four	#588059,#9b552b
Domino	#50403,#902616
Dorian Gray	#25101a,#26110e
Fantastick Four	#92f3a,#326c79
Devil Dinosaur (Devil Dinosaur)	#30719d,#ec2d3d
Donald Blake	#f9d5ba,#dfe3e8
Empath	#3d0b15,#93171f
Hank Pym	#492c60,#10100
Firestar	#30729e,#f9d842
Ghost Rider (Daniel Ketch)	#120907,#55c1c9
Giant Girl	#25101a,#26110e
Frog Thor	#6a6148,#227c61
Gladiator (Melvin Potter)	#2d3071,#2a110f
Hammerhead	#30201,#988380
Harrier	#fdfdfb,#200c03
Grey Gargoyle	#a85d2c,#db8a3f
Frog-Man	#c3e0f0,#8e8e74
Gargoyle (Yuri Topolov)	#25101a,#26110e
Firestar (Ultimate)	#110401,#eb933f
Greymalkin	#25101a,#26110e
Harry Heck	#25101a,#26110e
GW Bridge	#25101a,#26110e
Frankensteins Monster	#ada281,#81a793
Flatman	#25101a,#26110e
Grim Reaper	#fdfdfc,#30101
Foggy Nelson	#0,#567066
Freak	#f0503,#f18a5b
Gene Sailors	#25101a,#26110e
Genis-Vell	#25101a,#26110e
Green Goblin (Ultimate)	#6070d,#60503
Goblin Queen	#33170e,#4e8550
Gunslinger	#25101a,#26110e
Gorilla Man	#231915,#251a1e
Gravity	#e39040,#d9771a
George Stacy (Ultimate)	#25101a,#26110e
Gressill	#25101a,#26110e
Hairball	#25101a,#26110e
Gideon	#7e5c4a,#b5a183
Hardball	#4f884f,#a24b36
Grandmaster	#f6eeb6,#c8d6e5
Glenn Talbot	#25101a,#26110e
Harley Davidson Cooper	#25101a,#26110e
Gabe Jones	#60201,#ea7561
Hawkeye (Marvel Heroes)	#f2b46,#3d1047
Franklin Richards	#912616,#a13b2a
Gamora (Marvel War of Heroes)	#221c2b,#282008
Generation X	#25101a,#26110e
Green Goblin (Harry Osborn)	#25101a,#26110e
Gorgon	#4f874f,#60303
Hammerhead (Ultimate)	#25101a,#26110e
Gamma Corps	#25101a,#26110e
Groot	#aa642f,#d38e50
Hate-Monger (Adolf Hitler)	#b8e5fa,#8d5984
Great Lakes Avengers	#291917,#32698b
Hawkeye (Ultimate)	#c9a61c,#cda666
Forgotten One	#281f18,#b09775
Genesis	#10000,#71520
Hawkeye (Kate Bishop)	#20000,#dc8f4e
Guardian	#1c150c,#745f42
Frank Castle	#25101a,#26110e
Gamora	#c6a41d,#c8b054
H.E.R.B.I.E.	#86a1b2,#d1219
Happy Hogan	#fdfcfc,#715e4c
Franklin Storm	#20100,#83817f
Gargoyle	#25101a,#26110e
Hedge Knight	#25101a,#26110e
Giant-dok	#25101a,#26110e
Fixer (Paul Norbert Ebersol)	#25101a,#26110e
Galia	#25101a,#26110e
Hannibal King	#25101a,#26110e
Gambit	#979797,#291824
Gladiator (Kallark)	#37719a,#301e19
Ghost Rider (Marvel War of Heroes)	#555b62,#2d241e
Guardsmen	#25101a,#26110e
Forge (Ultimate)	#25101a,#26110e
Giant Man	#7cb8e3,#bed8ee
Giant-Man (Ultimate)	#cda285,#924d36
Forearm	#25101a,#26110e
Force Works	#36759f,#609dc3
Half-Life (Tony Masterson)	#fefcfd,#eff04b
Ghost Rider (Johnny Blaze)	#131421,#2e101e
Hawkeye/Clint Barton (MAA)	#38687c,#da9e7d
Havok	#508050,#50504
Firelord	#fdfbfc,#fcfbfa
Gauntlet (Joseph Green)	#8f4838,#902616
Garia	#25101a,#26110e
Frightful Four	#30509,#b49b80
Git Hoskins	#90201,#250f1c
Gertrude Yorkes	#392310,#7a5a32
Green Goblin (Barry Norman Osborn)	#60401,#84115a
Forge	#999693,#60715f
Flying Dutchman	#25101a,#26110e
Gwen Stacy	#ae998a,#e2dcd0
Harry Osborn	#c98982,#120705
Hawkeye	#4f884f,#271a24
Golden Guardian	#25101a,#26110e
Gwen Stacy (Ultimate)	#25101a,#26110e
Harry Osborn (Ultimate)	#25101a,#26110e
Harpoon	#25101a,#26110e
Garrison Kane	#fefefe,#8f8278
Glorian	#8a3843,#6b2c3a
Guardians of the Galaxy	#34709c,#23150c
Galactus	#72476b,#da8b77
H.A.M.M.E.R.	#fce7dc,#271321
Geiger	#c8a51c,#b289a3
Goliath (Bill Foster)	#929ead,#968a80
Gateway	#39559e,#d1326
Iron Man	#22120e,#492c5f
Hellcat (Patsy Walker)	#d49642,#e1592b
Hiroim	#caa61c,#c9b153
Iron Man (Marvel Heroes)	#123345,#460b06
Hydra	#8e512f,#70b19
Hellfire Club (Ultimate)	#25101a,#26110e
Jack Power	#25101a,#26110e
Jackpot	#25101a,#26110e
Human Torch	#fdfad0,#4c2c5e
Iron Fist (USM)	#eedb3e,#12361c
Hulk (Ultimate)	#141c18,#57665b
Human Torch (Jim Hammond)	#33739e,#dc9c4c
J. Jonah Jameson	#b36728,#ce8f57
Hope Summers	#53c3cb,#39b2ba
Iceman	#71aebb,#c7a51f
Hobgoblin (Robin Borne)	#2b0a04,#b1c31
Human Fly (Richard Deacon)	#25101a,#26110e
Hyperion (Earth-712)	#25101a,#26110e
Human Cannonball	#25101a,#26110e
Jazinda	#2e1607,#923f27
Inertia	#fbf6f2,#9e8e88
Hitman	#25101a,#26110e
Iron Fist (Bei Bang-Wen)	#7d6631,#508850
Jack Flag	#9ca6b6,#b8a49f
Jackal	#23131b,#a99689
Hypno-Hustler	#f6f5ba,#f151f
In-Betweener	#a19b98,#f8ecdb
Iron Fist (Danny Rand)	#492c61,#cadee9
Invaders	#c9a51c,#dda44a
Howard Saint	#25101a,#26110e
Hulk (HAS)	#40803e,#96af8d
Holy	#25101a,#26110e
Hercules	#49854c,#1a130d
Hulkling	#afa48d,#1c1a16
Hulk (Marvel: Avengers Alliance)	#454544,#162d17
Imperial Guard	#120c07,#37749e
Hobgoblin (Roderick Kingsley)	#115ca5,#b78a58
Imperfects	#25101a,#26110e
Henry Peter Gyrich	#492d60,#30100
Iron Man (Ultimate)	#c7a41c,#4e6277
Iron Cross Army	#25101a,#26110e
Human Robot	#1e121c,#e2e4f4
Jack Murdock	#25101a,#26110e
Ironclad	#f6e9af,#a2979c
Hindsight Lad	#a0a15,#808080
Hitomi Sakuma	#25101a,#26110e
Iron Man (Marvel War of Heroes)	#1b2932,#15120d
Iron Patriot	#25101a,#26110e
Husk	#91826,#100705
Hellion	#151411,#88ac99
Hobgoblin (Jason Macendale)	#25101a,#26110e
Hydro-Man	#204,#347492
Jane Foster	#f9d5bb,#dc9374
Invisible Woman (Marvel: Avengers Alliance)	#4b4744,#24170a
Hex	#f9c766,#dc995d
Holocaust (Age of Apocalypse)	#25101a,#26110e
Imp	#a38a84,#faf2ee
Hulk	#10000,#482c5e
Heroes For Hire	#d5dde5,#bba286
Iron Fist (Quan Yaozu)	#d09150,#a8692e
Howard The Duck	#a01820,#2d1524
Ilyana Rasputin	#25101a,#26110e
Iceman (Ultimate)	#bfddee,#67b3da
Invisible Woman	#55c1c9,#39b2ba
Humbug	#a19a91,#9897a6
Jamie Braddock	#25101a,#26110e
Hulk/Bruce Banner (MAA)	#40773d,#2f6677
Human Torch (Ultimate)	#4f884f,#210f09
Hellions (Squad)	#e0604,#955f43
Ink	#25101a,#26110e
Iron Man (Iron Man 3 - The Official Game)	#845f4a,#89827b
High Evolutionary	#39b2bb,#4ac4cc
James Buchanan Barnes	#25101a,#26110e
Hulk (Marvel Zombies)	#30301,#482c5e
Iron Patriot (James Rhodes)	#15242d,#a49891
Iron Lad	#29180e,#88523a
Iron Monger	#25101a,#26110e
Impossible Man	#fefefc,#300c35
James Howlett	#e0d09,#666a44
Jasper Sitwell	#25101a,#26110e
Iron Fist (Wu Ao-Shi)	#93422b,#912616
Iron Man (LEGO Marvel Super Heroes)	#c7e5f3,#fbecd5
Iron Fist (Orson Randall)	#9d9991,#6f735d
Ikaris	#f19156,#9c4f3b
Hussar	#fdfdfc,#e3225f
Iceman (X-Men: Battle of the Atom)	#7a9ebb,#c5e0f0
Hepzibah	#86a497,#130b08
Hellfire Club	#191512,#12151b
Jean Grey	#28130c,#da964f
Hulk-dok	#25101a,#26110e
Janus, the Nega-Man	#25101a,#26110e
Invisible Woman (Ultimate)	#20200,#fbf0b9
Iron Man/Tony Stark (MAA)	#316979,#8d0817
Inhumans	#4e864f,#b0603
Illuminati	#39b1ba,#57bec8
Hemingway	#25101a,#26110e
Infant Terrible	#50614,#3d242e
Jack O Lantern	#25101a,#26110e
Hulk (LEGO Marvel Super Heroes)	#118a38,#62c10
Lady Deathstrike	#4ec4cd,#39b2ba
Jubilee	#fefcf8,#90653b
Josiah X	#25101a,#26110e
Lethal Legion	#24100b,#fbfaf8
Lizard (Ultimate)	#60b17,#201411
Kingpin	#f6ecd7,#c9a51b
Juggernaut	#461c11,#b9976c
Jule Carpenter	#25101a,#26110e
Jocasta	#fefdfd,#989faa
Kinsey Walden	#25101a,#26110e
Johnny Storm	#25101a,#26110e
Joshua Kane	#b7b793,#a0b0f
Justin Hammer	#fefaf7,#10007
Lifeguard	#25101a,#26110e
Jennifer Smith	#25101a,#26110e
Living Mummy	#25101a,#26110e
Lily Hollister	#25101a,#26110e
Joan the Mouse	#25101a,#26110e
Kitty Pryde	#492c60,#c0604
Jessica Jones	#dca68e,#54bec7
Kat Farrell	#25101a,#26110e
Lizard	#7e572f,#151708
John Farson	#25101a,#26110e
Lilandra	#30729e,#5e99be
Killraven	#25101a,#26110e
Karen Page	#25101a,#26110e
Krista Starr	#25101a,#26110e
Jigsaw	#f9f9f9,#1a202c
Lightspeed	#eaddc4,#c29d85
Joseph	#c9a61b,#c1aa69
John Porter	#25101a,#26110e
Leper Queen	#25101a,#26110e
Lightning Lords of Nepal	#d1d8e7,#151e2d
Landau	#25101a,#26110e
Lava-Man	#25101a,#26110e
Korvac	#e68c5a,#f8e6b8
Karnak	#492d60,#705e45
Jeryn Hogarth	#25101a,#26110e
Jimmy Woo	#9e8174,#21161b
Karen OMalley	#c79686,#b14c16
Karma	#912616,#a73321
Lady Bullseye	#2c0f17,#991c24
Killer Shrike	#25101a,#26110e
Jubilee (Age of Apocalypse)	#6b2365,#3b183f
Kang	#caa61b,#62212
Julian Keller	#25101a,#26110e
Lady Ursula	#d9cf44,#956540
Loa	#ca6918,#df8944
Kulan Gath	#25101a,#26110e
Justice	#faf8f7,#959bb2
Jetstream	#25101a,#26110e
Lady Vermin	#66503a,#b0a121
Leader	#4cc4cc,#39b2ba
Leech	#25101a,#26110e
Kylun	#fdfdfd,#ba946a
Klaw	#aa908d,#e45247
Lilith	#4f884f,#40101
Korg	#944838,#912616
Lei Kung, The Thunderer	#25101a,#26110e
Lady Mastermind	#32833,#6d5f4e
Kronos	#fefefe,#828282
Lockheed	#0,#5a4679
Ken Ellis	#fbfafa,#c4e3f6
Lockjaw	#1020a,#bc885a
Korath	#451f05,#ddd86c
Jean Grey (Ultimate)	#caa61c,#d09d68
John Jameson	#415d81,#1a1c22
Liz Osborn	#25101a,#26110e
Ka-Zar	#776048,#bf9b6a
Kabuki	#25101a,#26110e
Joystick	#486381,#89aac8
Living Tribunal	#3b273d,#b4a964
Lila Cheney	#25101a,#26110e
Leo (Zodiac)	#25101a,#26110e
Lester	#1b0d03,#895b32
King Cobra	#25101a,#26110e
Lenny Balinger	#25101a,#26110e
Living Lightning	#fdfbf9,#a88d78
Kraven the Hunter	#50302,#356d96
Khan	#25101a,#26110e
Legion	#4f8750,#a73347
Lake	#25101a,#26110e
Junta	#f1ede4,#6d6b69
Katie Power	#fbf9e1,#cc9a53
Johnny Blaze	#a45118,#441506
Kitty Pryde (X-Men: Battle of the Atom)	#2d1a14,#414c3f
Jessica Drew	#25101a,#26110e
Karolina Dean 	#16253f,#4a5b7b
Kid Colt	#25101a,#26110e
John Wraith	#25101a,#26110e
Killmonger	#25101a,#26110e
Layla Miller	#2f719e,#bb9a7a
Kate Bishop	#f8f5e7,#99917f
Lieutenant Marcus Stone	#ecdfcc,#cedee7
Komodo (Melati Kusuma)	#482d5f,#b9a27a
King Bedlam	#25101a,#26110e
La Nuit	#bfcccd,#0
Leopardon	#25101a,#26110e
Kree	#c8a41c,#c7ae4a
Lionheart	#25101a,#26110e
Mercury	#25101a,#26110e
Matthew Murdock	#25101a,#26110e
Madame Web (Julia Carpenter)	#fcfaf6,#110c09
Mandrill	#506072,#161b21
Meteorite	#25101a,#26110e
Maximus	#51bfc7,#3bb1b9
Madelyne Pryor	#a0705,#4f834f
Magik (Illyana Rasputin)	#c9a51c,#e0e0e
Mandarin	#d6914e,#c66a1a
